UPRN,nearest_rd
38011533,id9282785E-8396-4732-859A-02C869439ACD
38011534,id9282785E-8396-4732-859A-02C869439ACD
38011535,id9282785E-8396-4732-859A-02C869439ACD
38011536,id9282785E-8396-4732-859A-02C869439ACD
38011537,id9282785E-8396-4732-859A-02C869439ACD
38011538,id9282785E-8396-4732-859A-02C869439ACD
38011539,id9282785E-8396-4732-859A-02C869439ACD
38011540,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011541,id9282785E-8396-4732-859A-02C869439ACD
38011542,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011543,id9282785E-8396-4732-859A-02C869439ACD
38011544,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011545,id9282785E-8396-4732-859A-02C869439ACD
38011546,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011547,id9282785E-8396-4732-859A-02C869439ACD
38011548,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011549,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011550,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011551,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011552,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011553,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011554,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011555,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011556,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011557,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011558,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011559,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011560,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011561,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011562,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011563,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011564,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011565,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011566,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011567,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011568,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011569,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011570,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011571,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011572,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011573,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011574,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011575,id78FB358D-C55A-4D9F-B155-B04AEC33B711
38011576,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011577,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011578,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011579,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
38011580,id457AD3C8-F6D3-4DBC-8B30-034D4323CB9A
